title,field_summary,grant_is_ongoing,grant_audience,url,status,subtype,grant_amount,grant_amount_min,grant_amount_max,grant_fund,grant_date_range,grant_amount_text
['Resilient Lands Program'],['This round aims to confirm participants who are actively interested in land and housing options and may be invited to RLP engagement and planning activities.'],[False],['Individual'],['/grants-and-funding/resilient-lands-program'],[True],['grantnoncompetitive'],['single-figure'],,,,"[{'startDate': '05/07/2024', 'endDate': '01/10/2025'}]",
['MGNSW Leg Up Grant - Volunteer Museums 2025'],"['Leg Up Grants are for volunteers in volunteer managed museums and Aboriginal cultural spaces who require financial assistance to attend some form of skills development activity, or to bring such an activity into their museum.']",[False],['Not-for-profit'],['/grants-and-funding/mgnsw-leg-up-grant-volunteer-museums-2025'],[True],['grantnoncompetitive'],['range'],[50],[500],['Arts and Culture Priority Needs Program'],"[{'startDate': '10/02/2025', 'endDate': '03/11/2025'}]",
['MGNSW Skills Development - Volunteer Museums 2025'],"['Skills Development Grants provide funding to volunteer museums, museum networks, and Aboriginal cultural spaces for regional or state focused skill development training and networking events involving more than one organisation.']",[False],['Not-for-profit'],['/grants-and-funding/mgnsw-skills-development-volunteer-museums-2025'],[True],['grantnoncompetitive'],['up-to'],,[4000],['Arts and Cultural Funding Program'],"[{'startDate': '10/02/2025', 'endDate': '03/11/2025'}]",
['NSW Government Exhibition Indemnification Scheme 2025-2027'],"['The New South Wales Government Exhibitions Indemnification Scheme is operated by Create NSW, a part of the NSW Department of Creative Industries, Tourism, Hospitality and Sports on behalf of the State Government.']",[False],['Business'],['/grants-and-funding/nsw-government-exhibition-indemnification-scheme-2025-2027'],[True],['grantnoncompetitive'],['single-figure'],,,,"[{'startDate': '30/04/2025', 'endDate': '05/12/2025'}]",
['EV Fleets Incentive - Competitive bid - Round 4'],['The competitive bid funding option is designed to support organisations with larger fleets that are beyond the pilot phase of their transition to EVs.'],[False],"['Business', 'Local Government', 'Not-for-profit']",['/grants-and-funding/ev-fleets-incentive-competitive-bid-round-4'],[True],['grantnoncompetitive'],['range'],[1],[4000000],,"[{'startDate': '10/12/2024', 'endDate': '31/12/2025'}]",
['Start Strong for Long Day Care - 2024 Fee Relief Confirmation'],['This Fee Relief Confirmation form is for the receiving Approved Provider of a service that transferred service approval in 2024.'],[False],"['Business', 'Individual', 'Local Government', 'Not-for-profit']",['/grants-and-funding/start-strong-for-long-day-care-2024-fee-relief-confirmation'],[True],['grantnoncompetitive'],['single-figure'],,,,"[{'startDate': '02/06/2025', 'endDate': '01/01/2026'}]",
['TechVouchers'],['TechVouchers is a funded component of the Boosting Business Innovation Program (BBIP).TechVouchers is delivered by the selected Delivery Partners to fund collaborative research projects between Small and Medium Enterprises (SMEs) and researchers.'],[False],['Not-for-profit'],['/grants-and-funding/techvouchers'],[True],['grantnoncompetitive'],['single-figure'],,,,"[{'startDate': '26/06/2024', 'endDate': '25/04/2026'}]","['Up to $50,000']"
['Strategic Funding 25/26'],"['Designed for institutions, organisations and music businesses demonstrating industry leadership and significant engagement with contemporary music in NSW. Applicants will have a track record of achieving outcomes for artists and music professionals.']",[False],['Business'],['/grants-and-funding/strategic-funding-25/26'],[True],['grantnoncompetitive'],['range'],[100],[1000000],,"[{'startDate': '01/07/2025', 'endDate': '30/04/2026'}]",['Contact Sound NSW']
['2024-2026 LDM Implementation Funding - Stream 2'],['LDM is an initiative of OCHRE: the NSW Government’s community-focused plan for Aboriginal affairs. LDM seeks to improve the relationship between government and Aboriginal people through agreement making on service delivery issues.'],[False],['Business'],['/grants-and-funding/2024-2026-ldm-implementation-funding-stream-2'],[True],['grantnoncompetitive'],['range'],[1],[400000],,"[{'startDate': '02/08/2024', 'endDate': '01/05/2026'}]","['Alliances are eligible to apply for up to $400,000 over 2 years']"
['NSW Koala Strategy '],"['The NSW Koala Strategy supports a range of conservation actions that will provide more habitat for koalas, support local community action, improve koala safety and health, and build our knowledge to improve koala conservation.']",[False],"['Business', 'Local Government', 'Not-for-profit']",['/grants-and-funding/nsw-koala-strategy'],[True],['grantnoncompetitive'],['single-figure'],,,,"[{'startDate': '01/01/2023', 'endDate': '30/06/2026'}]",['Dependent on project']
['One-off Grants 25/26'],['One-off Grants - Sound NSW'],[False],"['Business', 'Individual', 'Local Government', 'Not-for-profit']",['/grants-and-funding/one-off-grants-25/26'],[True],['grantnoncompetitive'],['single-figure'],,,,"[{'startDate': '13/08/2025', 'endDate': '30/06/2026'}]",['Not open for application']
"[""2025-2026 Minister's Discretionary Fund""]","['The purpose of the Minister’s Discretionary Fund (MDF) is to provide one-off grant funding at the Minister for Aboriginal Affairs and Treaty’s discretion, to support Aboriginal people and communities across NSW.']",[False],"['Business', 'Individual', 'Not-for-profit']",['/grants-and-funding/2025-2026-ministers-discretionary-fund'],[True],['grantnoncompetitive'],['range'],[500],[100000],,"[{'startDate': '01/07/2025', 'endDate': '30/06/2026'}]",
['Nepean Blue Mountains LHD Ministerial Approved Grants'],['These Ministerially Approved Grants (MAG) support non-government organisations to deliver specified health services and projects in the Nepean Blue Mountains Local Health District.'],[False],['Not-for-profit'],['/grants-and-funding/nepean-blue-mountains-lhd-ministerial-approved-grants'],[True],['grantnoncompetitive'],['from'],[43900],,,"[{'startDate': '01/07/2023', 'endDate': '30/06/2026'}]",
['Transport Access Regional Partnerships Grant Program 2025-2026'],['Support initiatives to improve services and outcomes for sections of the community that need improved transport.'],[False],"['Business', 'Local Government', 'Not-for-profit']",['/grants-and-funding/transport-access-regional-partnerships-grant-program-2025-2026'],[True],['grantnoncompetitive'],['range'],[100],[250000],,"[{'startDate': '01/07/2025', 'endDate': '30/06/2026'}]",['Speak with the Program Manager to discuss funding amounts']
['EV Fleets Incentive - Competitive bid - Round 6'],['The competitive bid funding option is designed to support organisations with larger fleets that are beyond the pilot phase of their transition to EVs.'],[False],"['Business', 'Local Government', 'Not-for-profit']",['/grants-and-funding/ev-fleets-incentive-competitive-bid-round-6'],[True],['grantnoncompetitive'],['range'],[1],[4000000],,"[{'startDate': '15/04/2025', 'endDate': '30/06/2026'}]",
['2024-2026 LDM Operational Funding - Stream 1'],['LDM is an initiative of OCHRE: the NSW Government’s community-focused plan for Aboriginal affairs. LDM seeks to improve the relationship between government and Aboriginal people through agreement making on service delivery issues.'],[False],['Business'],['/grants-and-funding/2024-2026-ldm-operational-funding-stream-1'],[True],['grantnoncompetitive'],['up-to'],,[475000],,"[{'startDate': '02/08/2024', 'endDate': '30/06/2026'}]","['Up to $475,000']"
['EV fleets incentive - Competitive bid - Rounds 1-3 (survey only)'],['This round is to host the 12-month survey as part of the EV fleets incentive competitive bid program for previous rounds 1-3.'],[False],"['Business', 'Local Government', 'Not-for-profit']",['/grants-and-funding/ev-fleets-incentive-competitive-bid-rounds-1-3-survey-only'],[True],['grantnoncompetitive'],['single-figure'],,,,"[{'startDate': '01/07/2024', 'endDate': '30/06/2026'}]",
['Aboriginal Affairs NSW Closing the Gap Partnership Grant Funding'],['The NSW Closing the Gap Partnership Ad Hoc Grant Round provides funding by invitation only to support initiatives identified under the National Agreement on Closing the Gap'],[False],['Not-for-profit'],['/grants-and-funding/aboriginal-affairs-nsw-closing-gap-partnership-grant-funding'],[True],['grantnoncompetitive'],['range'],[1],[5000000],,"[{'startDate': '19/02/2025', 'endDate': '30/06/2026'}]",
['EV Fleets Incentive - Competitive bid - Round 5'],['The competitive bid funding option is designed to support organisations with larger fleets that are beyond the pilot phase of their transition to EVs.'],[False],"['Business', 'Local Government', 'Not-for-profit']",['/grants-and-funding/ev-fleets-incentive-competitive-bid-round-5'],[True],['grantnoncompetitive'],['range'],[1],[4000000],,"[{'startDate': '18/03/2025', 'endDate': '30/06/2026'}]",
"[""2025-26 Premier's Discretionary Funding""]",['The Premiers Discretionary Fund supports community-based projects which are identified by the Premier through ongoing community engagement'],[False],"['Business', 'Individual', 'Local Government', 'Not-for-profit']",['/grants-and-funding/premiers-discretionary-funding/2025-26-premiers-discretionary-funding'],[True],['grantnoncompetitive'],['single-figure'],,,"[""Premier's Discretionary Fund""]","[{'startDate': '12/06/2025', 'endDate': '01/07/2026'}]",
['2024-2026 LDM Governance Groups '],['The Program will be offered to those new and emerging Aboriginal Governance Groups not already participating in the LDM Program and will provide capacity funding to those Groups enabling them to undertake community engagement and consultation.'],[False],['Not-for-profit'],['/grants-and-funding/2024-2026-ldm-governance-groups'],[True],['grantnoncompetitive'],['single-figure'],,,,"[{'startDate': '05/11/2024', 'endDate': '01/07/2026'}]","['Up to $30,000.']"
['Office of Sport Grants 2025/26'],['The 2025/26 Office of Sport Grants(‘the Program’) has been created to administer projects that have been identified by the NSW Government and that fall within the portfolio of the Minister for Sport.'],[False],['Not-for-profit'],['/grants-and-funding/office-of-sport-grants-2025/26'],[True],['grantnoncompetitive'],['single-figure'],,,,"[{'startDate': '01/07/2025', 'endDate': '01/07/2026'}]",['In line with invitation to apply']
['Koala Science Research Plan'],"['To address knowledge gaps and better protect koalas in the wild, funding has been committed to fund koala-focused research. This research will enable better-informed management to stabilise and increase koala numbers in New South Wales.']",[False],"['Business', 'Not-for-profit']",['/grants-and-funding/koala-science-research-plan-0'],[True],['grantnoncompetitive'],['range'],[100000],[150000],,"[{'startDate': '28/10/2024', 'endDate': '31/12/2026'}]",
['NSW Office of Sport Funding'],['Sport projects in NSW funded by the Office of Sport.'],[False],['Not-for-profit'],['/grants-and-funding/nsw-office-of-sport-funding'],[True],['grantnoncompetitive'],['single-figure'],,,,"[{'startDate': '22/04/2024', 'endDate': '28/05/2027'}]",['In line with current funding agreement']
['Centre for Population Health Ad Hoc Grants'],"['These ad hoc grants, funded through NSW Health, aim to promote health and prevent morbidity and mortality caused by modifiable risk factors.']",[False],['Not-for-profit'],['/grants-and-funding/centre-for-population-health-ad-hoc-grants'],[True],['grantnoncompetitive'],['range'],[52920],[38021100],,"[{'startDate': '01/07/2021', 'endDate': '30/06/2027'}]",
['Relocations'],['Internal Use Only'],[False],['Individual'],['/grants-and-funding/relocations'],[True],['grantnoncompetitive'],['single-figure'],,,,"[{'startDate': '11/06/2025', 'endDate': '30/06/2027'}]",
['Boosting Business Innovation Program'],['The NSW Government has committed $11 million over four years to selected Publicly Funded Research Organisations (PFROs) to develop activities that enable better translation of world-class research into business performance.'],[False],['Not-for-profit'],['/grants-and-funding/boosting-business-innovation-program'],[True],['grantnoncompetitive'],['single-figure'],,,,"[{'startDate': '26/02/2024', 'endDate': '30/06/2027'}]",
['Calvary Health Care - Drug & Alcohol'],"[""These ministerially approved grants support the provision of drug & alcohol residential detoxification and a Magistrates' early referral into treatment service for clients with problematic substance use.""]",[False],"['Business', 'Not-for-profit']",['/grants-and-funding/calvary-health-care-drug-alcohol'],[True],['grantnoncompetitive'],['single-figure'],,,,"[{'startDate': '01/07/2023', 'endDate': '30/06/2027'}]",
['Football in Schools'],"['As an election commitment to boost physical activity and wellbeing through football and education in West and South-West Sydney, the NSW Government has partnered with Western Sydney Wanderers and Macarthur FC to deliver programs in the area.']",[False],['Individual'],['/grants-and-funding/football-schools'],[True],['grantnoncompetitive'],['single-figure'],,,,"[{'startDate': '13/11/2023', 'endDate': '30/06/2027'}]",
['Test - Work Orders'],['Work Order Testing'],[False],['Local Government'],['/grants-and-funding/test-work-orders'],[True],['grantnoncompetitive'],['single-figure'],,,,"[{'startDate': '05/04/2024', 'endDate': '01/04/2051'}]",
