GO ID:,FO Reference:,Primary Category:,Secondary Category:,Addenda Available:,Close Date & Time:,Selection Process:,Publish Date:,Other Instructions:,Estimated Grant Value (AUD):,Location:,Eligibility:,Description:,Grant Activity Timeframe:,Co-sponsored with:,Agency:,Internal Reference ID:,Instructions for Application Submission:,Total Amount Available (AUD):
GO6105,,351003 - Transport,,,Ongoing,Demand Driven,22-Feb-23,,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","To be eligible for the commercial passenger component of the program: The airline has a current Australian air transport (formerly Regular Public Transport (RPT) Air Operator’s Certificate (AOC) that authorises scheduled air transport operations on the route and authorises the aircraft / aircraft type for air transport services; Services are to be operated as scheduled air transport operations (charter services are NOT eligible); The route is to be to/from a Regional or Remote location, as defined by the Australian Standard Geographical Classification (ASGC); The route is serviced by a single operator; The route has no more than 15,000 passenger movements per annum; The route does not otherwise receive a subsidy for flight costs from any level of government; The proposed route is shown to have an economic and/or social impact on the community; and The aircraft type used on the route has a maximum take-off weight (MTOW) of 15,000Kg or less. Applicants flying commercial routes can obtain assistance of up to 60 per cent of the enroute charge; and up to 100 per cent for new routes for a period of up to three years To be eligible for the aeromedical component of the program: The airline can demonstrate its engagement as a contracted aeromedical provider; The airline has an AOC that authorises these services; The aeromedical services are conducted using aircraft listed on the airline's AOC as being for this purpose; The aircraft used has a MTOW of 15,000Kg or less; AND Services operated by the airline are anticipated to include services to/from a Regional or Remote location, as defined by the Australian Standard Geographical Classification (ASGC). Please refer to the Guidelines for more details on Eligibility","The Airservices Australia Enroute Charges Payment Scheme (program) commenced on 1 January 2002 and was introduced against the background of the collapse of Ansett on September 12, 2001 to assist in ensuring the continuation of air services to regional Australia. The aim of the program is to provide regional and remote communities with access to essential air services that can in turn connect these smaller communities with the rest of Australia. The Scheme supports regional commercial airlines operating low volume and new routes to regional and remote communities; as well as aeromedical providers. The Government's policy for aviation encourages the growth of regional aviation services across Australia and the expansion of the current network by giving impetus for operators to test whether a new route can be commercially viable in time. The program is administered according to the Commonwealth Grants Rules and Guidelines (CGRGs). Please refer to the Guidelines for more details.",,,"Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",GO45,To apply for this opportunity please submit your application via email to enroute@infrastructure.gov.au,
GO247,,151004 - Legal Services,,View Addenda,Ongoing,Demand Driven,3-Jul-17,"Commonwealth Guidelines for Legal Financial Assistance (Guidelines) The Guidelines apply to all schemes and are available under GO Documents. An addendum for the Royal Commission into Misconduct in the Banking, Superannuation and Financial Services Industry was added to the Guidelines. The Legal Financial Assistance Assessment of Costs applies to all schemes and is available under GO Documents. Privacy All applications for legal financial assistance are confidential, as explained in the Privacy - Legal Financial Assistance document which is available in the GO Documents section. Information for lawyers If assistance is granted for legal representation, the department is to be invoiced directly, by email to finass@ag.gov.au . Complete invoices are paid in approximately 28 days. Incomplete invoices are returned without being assessed. For more information see the Legal Financial Assistance - Assessment of Costs document under GO Documents.",,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS, Administered Territories, Overseas","The Attorney-General's Department cannot help people facing criminal charges in Australia or with legal matters under state or territory laws. For these matters, contact your local legal aid office. The Attorney-General's Department will not generally grant funding: for Overseas legal actions, unless under the Serious Overseas Criminal Matters Scheme, the Overseas Child Abduction Scheme, or the Special Circumstances Scheme to people who can meet their legal costs without incurring serious financial difficulty for costs incurred before an application is made, unless the scheme allows for reimbursement.","The Attorney-General's Department administers a range of statutory and non-statutory legal financial assistance schemes. Legal financial assistance schemes Commonwealth public interest and test cases scheme Disbursement support scheme Overseas child abduction scheme Serious overseas criminal matters scheme Special circumstances scheme Other legal financial assistance schemes Aboriginal and Torres Strait Islander Heritage Protection Act 1984 , section 30: Aboriginal Land Rights (Northern Territory) Act 1976 , sections 54C and 74A Administrative Appeals Tribunal Act 1975 , section 30A and section 69: Australian Crime Commission Act 2002 , section 27: Australian Human Rights Commission Act 1986 , section 46PU: Competition and Consumer Act 2010 , section 170: Defence Force Discipline Appeals Regulations 1957 , regulation 11: Fair Work (Registered Organisations) Act 2009 , sections 324(1) and 326(1), (4) and (5): Freedom of Information Act 1982 , section 66: Judiciary Act 1903 , section 69(3) and section 78B(4): Jurisdiction of Courts (Cross-vesting) Act 1987 , subsection 6(7): Law Enforcement Integrity Commissioner Act 2006 , section 103 and section 221: Privacy Act 1988 , section 63: Proceeds of Crime Act 1987 , section 102: War Crimes Act 1945 , section 19:","Assessment timeframes Complete applications will be assessed within 28 days. Incomplete applications will not be assessed. You will be notified if your application is incomplete. Seeking a review of a decision If you disagree with a decision (or any part of it), you may request a review in writing. If a review is sought, the whole application will be considered by a decision maker who did not make the original decision. The written request must explain why you believe that the decision was wrong and must be received within 28 days of the date of the letter. For more information on seeking a review please refer to the Decision Review - FAQ's and Request form available in GO Documents section.",,Attorney-General's Department,,"You can apply online or download the application form and email a completed copy to finass@ag.gov.au with the required attachments: The relevant documents in the GO Documents section are: Disbursement Support Scheme Disbursement Support Scheme Application Disbursement Support Scheme Frequently asked Questions Overseas Child Abduction Scheme Legal Financial Assistance Application Overseas Child Abduction Matters Additional Information Serious Overseas Criminal Matters Scheme Serious Overseas Criminal Matters Application All Other Schemes Legal Financial Assistance Application If you cannot email your application, contact the Financial Assistance Section on: 1800 117 995 (toll free in Australia), or 02 6141 4770 (charges apply).","$3,006,000.00"
GO6896,,361002 - Defence,,View Addenda,Ongoing,Open Competitive,12-Jun-24,"business.gov.au provides information and advice to customers via a range of channels including phone (13 28 46), email and web chat. Contact us for assistance.","From $15,000.00 to $250,000.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS, Administered Territories","You can apply if you: have an Australian business number (ABN) are a SME with less than 200 employees are registered for GST have an account with an Australian financial institution are non-income tax exempt and are one of the following entities: an entity incorporated in Australia a company limited by guarantee an incorporated trustee on behalf of a trust. You can’t apply if you are: an organisation, or your project partner is an organisation, included on the National Redress Scheme’s list of Institutions that have not joined or signified their intent to join the Scheme an employer of 100 or more employees that has not complied with the Workplace Gender Equality Act (2012) income tax exempt an individual a partnership an overseas organisation an unincorporated association an organisation not included in section 4.1 of the grant opportunity guidelines a trust (however, an incorporated trustee may apply on behalf of a trust) a Commonwealth, state, territory or local government body (including government business enterprises). You can partner with one or more other organisations that also meet the eligibility criteria. But you must decide who the lead organisation is. The lead organisation must fill out the application form. If we give your group the grant, the lead organisation: signs the grant agreement is responsible for making sure your group follows the rules in the grant agreement. Find the full eligibility criteria in the grant opportunity guidelines.",The Defence Industry Development Grants Program (the program) will award grants over four years from 2024-25 to 2027-28. The program was announced as part of the Defence Industry Development Strategy . The objective of the program is to build the industrial base Australia needs to achieve Defence outcomes in areas of strategic priority. The Defence Industry Development Grants Program funds four distinct grant opportunity streams tailored to address the program outcomes: Sovereign Industrial Priorities Skilling Exports Security. The Exports stream provides support for small to medium enterprises (SMEs) to overcome export barriers and help defence industry build scale and competitiveness in defence capability priority areas as identified by the Sovereign Defence Industrial Priorities described in the Defence Industry Development Strategy.,Applications will be assessed in batches. The closing dates for each batch will be regularly updated on business.gov.au . You can apply at any time.,,Department of Defence,,"Applications open Tuesday 18 June 2024. To apply, go to https://business.gov.au/DIDgrants","$169,100,000.00"
GO7123,,271002 - Information Technology,,,Ongoing,Closed Non-Competitive,19-Aug-24,Please refer to the attached Grant Opportunity Guidelines for information on the assessment and eligibility criteria.,"From $1.00 to $5,600,000.00",NSW,To be eligible you must be one of the listed organisation/s and have received an invitation from the department: Legal Name of Organisation: Gateway Network Governance Body Ltd ABN: 93 615 159 101,"The Gateway Network Governance Body (GNGB) is an industry owned, not-for-profit organisation, whose main purpose is to manage the integrity of the Superannuation Transaction Network (STN). As the STN underpins the superannuation system, the GNGB plays a key role in providing a governance framework for the STN and ensuring that the STN continues to assist employers and superannuation funds in meeting their obligations under the mandatory Data and Payment Standard from the SuperStream regulatory program. In Budget 2024-25, the Government provided an additional $2.7 million over for 4 years from 2024-25 (and $0.7 million per year ongoing as part of the Treasury Portfolio – additional resourcing measure) to increase the grant to $1.349 million per year (adjusted for indexation) to support the GNGB in continuing to manage the integrity of the STN. A new Grant Agreement will be entered into between the ATO (on behalf of the Commonwealth) and the GNGB.",Open on Grant Connect: August 2024 Approval of outcomes of selection process: Within 1 week Earliest start date of grant activity: August 2024 End date of grant activity or agreement: Ongoing subject to annual review,,Australian Taxation Office,,N/A,"$5,600,000.00"
GO6311,,141000 - Community Development,,,Ongoing,Open Non-competitive,24-Aug-23,"business.gov.au provides information and advice to customers via a range of channels including phone (13 28 46), email and web chat. Contact us for assistance.","From $500,000.00 to $5,000,000.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS, Administered Territories","You can apply if you: have an Australian business number (ABN) or Office of the Registrar of Indigenous Organisations (ORIC) registration and are one of the following entity types: an Australian State/Territory Government agency or body an Australian local government agency or body a Regional University which may be for-profit an incorporated not-for-profit organisation. As a not-for-profit organisation you must demonstrate your not-for-profit status through one of the following: current Australian Charities and Not-for-profits Commission's (ACNC) registration state or territory incorporated association status constitutional documents and/or Articles of Association that demonstrate the not-for-profit character of the organisation. You can’t apply if you are: an organisation, or your project partner is an organisation, included on the National Redress Scheme’s list of Institutions that have not joined or signified their intent to join the Scheme an employer of 100 or more employees that has not complied with the Workplace Gender Equality Act (2012) a for-profit organisation (unless you are a regional university) any organisation that is not included in section 4.1 of the grant opporunity guidelines. Find the full eligibility criteria in the grant opportunity guidelines.","The program will focus on a partnership approach, bringing together governments and communities to plan and deliver regional precincts that are tailored to local needs and have a shared vision in how the precinct connects to the region. Partners can be from government, First Nations groups, community organisations, regional universities or private enterprise. Regional precincts or ‘places with a purpose’ are user-defined geographic areas with a specific shared need or theme. Regional precincts may include business districts, neighbourhoods, activity centres, commercial hubs or community and recreational areas. They will be located in renewal areas and growth areas in regional centres, regional corridors, regional cities, as well as smaller town centres that serve as service hubs in more remote communities. There are two streams of the regional Precincts and Partnerships Program which are delivered as two separate grant opportunities. The objective of stream one is to activate partnerships to jointly deliver precinct plans. The intended outcomes of stream one are to: establish partnerships comprised of relevant government entities, community organisations and businesses that have a shared vision for a regional precinct deliver precinct plans that are tailored to their local contexts and based on community feedback and engagement support precinct plans to become investment ready contribute to the Australian Government’s current policy priorities, including but not limited to Closing the Gap, transition to a net zero economy, Australia’s emission reduction goals, social and affordable housing, and National Cultural Policy.",You can apply at any time while the grant opportunity remains open. Applications will be batched and assessed periodically. The program will run over 3 years from 2023-24 to 2025-26.,,"Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",,"To apply, go to https://business.gov.au/rpppdp","$80,000,000.00"
GO6891,,361002 - Defence,,View Addenda,Ongoing,Open Competitive,12-Jun-24,"business.gov.au provides information and advice to customers via a range of channels including phone (13 28 46), email and web chat. Contact us for assistance.","From $50,000.00 to $1,000,000.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS, Administered Territories","You can apply if you: have an Australian business number (ABN) are a SME with less than 200 employees are registered for GST have an account with an Australian financial institution are non-income tax exempt and are one of the following entities: an entity incorporated in Australia a company limited by guarantee an incorporated trustee on behalf of a trust. You can’t apply if you are: an organisation, or your project partner is an organisation, included on the National Redress Scheme’s list of Institutions that have not joined or signified their intent to join the Scheme an employer of 100 or more employees that has not complied with the Workplace Gender Equality Act (2012) income tax exempt an individual a partnership an overseas organisation an unincorporated association an organisation not included in section 4.1 of the grant opportunity guidelines a trust (however, an incorporated trustee may apply on behalf of a trust) a Commonwealth, state, territory or local government body (including government business enterprises). You can partner with one or more other organisations that also meet the eligibility criteria. But you must decide who the lead organisation is. The lead organisation must fill out the application form. If we give your group the grant, the lead organisation: signs the grant agreement is responsible for making sure your group follows the rules in the grant agreement. Find the full eligibility criteria in the grant opportunity guidelines.",The Defence Industry Development Grants Program (the program) will award grants over four years from 2024-25 to 2027-28. The program was announced as part of the Defence Industry Development Strategy . The objective of the program is to build the industrial base Australia needs to achieve Defence outcomes in areas of strategic priority. The Defence Industry Development Grants Program funds four distinct grant opportunity streams tailored to address the program outcomes: Sovereign Industrial Priorities Skilling Exports Security. The Sovereign Industrial Priorities stream will assist eligible small to medium enterprises (SMEs) to purchase manufacturing plant and equipment which is used directly to develop and/or deliver programs that are in line with the Sovereign Defence Industrial Priorities described in the Defence Industry Development Strategy.,Applications will be assessed in batches. The closing dates for each batch will be regularly updated on business.gov.au . You can apply at any time.,,Department of Defence,,"Applications open Tuesday 18 June 2024. To apply, go to https://business.gov.au/DIDgrants","$169,100,000.00"
GO6902,,361002 - Defence,,View Addenda,Ongoing,Open Competitive,12-Jun-24,"business.gov.au provides information and advice to customers via a range of channels including phone (13 28 46), email and web chat. Contact us for assistance.","From $5,000.00 to $250,000.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS, Administered Territories","You can apply if you: have an Australian business number (ABN) are a SME with less than 200 employees or a Defence Industry Association (DIA) are registered for GST have an account with an Australian financial institution are non-income tax exempt and are one of the following entities: an entity incorporated in Australia a company limited by guarantee an incorporated trustee on behalf of a trust. You can’t apply if you are: an organisation, or your project partner is an organisation, included on the National Redress Scheme’s list of Institutions that have not joined or signified their intent to join the Scheme an employer of 100 or more employees that has not complied with the Workplace Gender Equality Act (2012) income tax exempt an individual a partnership an overseas organisation an unincorporated association an organisation not included in section 4.1 of the grant opportunity guidelines a trust (however, an incorporated trustee may apply on behalf of a trust) a Commonwealth, state, territory or local government body (including government business enterprises). You can partner with one or more other organisations that also meet the eligibility criteria. But you must decide who the lead organisation is. The lead organisation must fill out the application form. If we give your group the grant, the lead organisation: signs the grant agreement is responsible for making sure your group follows the rules in the grant agreement. Find the full eligibility criteria in the grant opportunity guidelines.","The Defence Industry Development Grants Program (the program) will award grants over four years from 2024-25 to 2027-28. The program was announced as part of the Defence Industry Development Strategy . The objective of the program is to build the industrial base Australia needs to achieve Defence outcomes in areas of strategic priority. The Defence Industry Development Grants Program funds four distinct grant opportunity streams tailored to address the program outcomes: Sovereign Industrial Priorities Skilling Exports Security. The Skilling stream helps Australian defence industry to upskill and train in priority trade, technical and professional skillsets to develop a workforce with the right mix of qualified and experienced personnel to meet Defence requirements. The program will enhance the capacity and capability of Australian defence industry workforce to deliver Sovereign Defence Industrial Priorities described in the Defence Industry Development Strategy.",Applications will be assessed in batches. The closing dates for each batch will be regularly updated on business.gov.au . You can apply at any time.,,Department of Defence,,"Applications open Tuesday 18 June 2024. To apply, go to https://business.gov.au/DIDgrants","$169,100,000.00"
GO7718,,201004 - Vocational Training and Apprenticeships,,View Addenda,Ongoing,Demand Driven,6-Jun-25,,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","Be a domestic student Enrolled in a Diploma of Nursing course Undertake a practicum placement on average 30 hours or more per week Be on a Commonwealth income support payment (e.g. ABSTUDY, Austudy, Youth Allowance or DVA Education Allowance) or Meet a ‘Need to work’ and ‘Income test’ criteria.",The Commonwealth Prac Payment – Vocational Education and Training (CPP (VET)) grant will assist eligible students to manage the costs associated with undertaking a mandatory practicum placement as part of a Diploma of Nursing qualification.,,Department of Education,Department of Employment and Workplace Relations,MS25-000117,Applications can be submitted through the Your Career website. https://www.yourcareer.gov.au/cpp Or via linking your myGov account to Your Career.,
GO7269,,121003 - Humanities,,View Addenda,Ongoing,Closed Non-Competitive,23-Oct-24,,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS, Overseas","The Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts will either require an Expression of Interest or the program will identify activities which accord with the objectives of ICDAF on a targeted, closed, non-competitive basis, and may invite proposals for specific activities where funds are available. ICDAF will support, but is not limited to, the development, production, presentation, exhibition, and/or performance of arts and cultural activities that meet its objectives. It is open to activities that support the whole of the arts sector and industry-wide initiatives, including research activities. ICDAF is open to all art forms and cultural expressions such as music, literature, theatre, dance, design, visual arts, cross-media, and film and screen-based arts. ICDAF is open to organisations and individuals.  Ordinarily, a grant will be provided through an Australian incorporated organisation or entity with an active Australian Business Number (ABN). In some circumstances grants may be provided through other agencies or government departments. Ordinarily, a grant will not be provided for a component of an activity that is already receiving funding from another Australian, State or Local Government entity or agency.","The International Cultural Diplomacy Arts Fund (ICDAF) supports activities in Australia and around the world that promote the Australian Government’s international arts and cultural engagement and cultural diplomacy priorities, and assist the Government in meeting Australia’s international commitments relating to arts and culture. ICDAF is designed to contribute to the overall arts and cultural development work of the Office for the Arts in the Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts. It also aims to contribute to broader government objectives, in shaping and supporting Australia’s cultural landscape and Australia’s reputation abroad, and in promoting participation in, and access to, Australia’s arts and culture.",Activity timeframes are agreed on a case-by-case basis.,,"Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",,"An Expression of Interest form can be completed via the 'Submit Application' button. Please note that this form is not a grant application. Identified activities that align with the objectives of ICDAF will be invited to apply where funds are available. Individuals and organisations will be notified if their EOIs will not progress. The Department accepts EOIs year-round, there is no set timeframe for response. For further information please contact culturaldiplomacy@arts.gov.au.",
GO4916,,121003 - Humanities,,,Ongoing,Open Non-competitive,1-Jul-21,,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","Australian cultural organisations are eligible to apply for funding assistance from the Account. Such organisations might be museums, art galleries, libraries, archives, historic buildings and others, having permanent and appropriately maintained/conserved collections which are accessible to the public. We have funded national and state institutions, as well as regional and not-for-profit organisations. Past recipients of funding are listed at https://www.arts.gov.au/funding-and-support/national-cultural-heritage-account In considering applications for funding assistance, preference will be given to cultural organisations with the intention and capacity to care for and provide public access to objects in perpetuity. To be eligible for funding objects must meet the criteria for an Australian Protected Object (APO) as set out in the National Cultural Heritage Control List (the Control List), Schedule 1 to the Protection of Movable Cultural Heritage Regulations 2018 (the Regulations). The Regulations are an instrument made under the Protection of Movable Cultural Heritage Act 1986 (the Act). The Control List sets out categories of objects that constitute the movable cultural heritage of Australia and are subject to the Act. It defines the characteristics of an APO including age, value and links to Australian history.","The National Cultural Heritage Account (the Account) grant program assists Australian cultural organisations to acquire significant cultural heritage objects. The Account helps to retain and protect Australia's cultural heritage for future generations and provide public access to important objects that tell a story about our cultural identity. The Australian Government allocates $500,000 each financial year. There is no limit on the amount you can apply for, and funding over multiple years may be considered. There are no funding round deadlines. Applications can be made at any time during the year, and are assessed on a case by case basis.",,,"Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",NCHA,For further information on how to apply go to https://arts.smartygrants.com.au/,
GO6427,,231019 - Reproductive Health,,,Ongoing,Demand Driven,2-Oct-23,More information on how to apply by registering in the Organisation Register can be found in the ‘Fact Sheet for Program Registration - ART Storage Funding Program’.,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","To be eligible you must be a Reproductive Technology Accreditation Committee (RTAC) licenced ART clinic, providing cryostorage services on behalf of eligible patients.","The purpose of this grant opportunity is to support patients from two population groups who face extra costs associated with fertility preservation: people who require fertility treatment, including fertility preservation, due to a cancer diagnosis, and people at risk of passing on genetic conditions who have undergone pre-implantation genetic testing funded by the Medicare Benefit Schedule (MBS), as described in MBS items 13207, 73384, 73385, 73386 or 73387. Costs associated with the cryostorage of eggs, sperm or embryos are not currently subsidised through the Medical Benefits Schedule (MBS) and these patient groups often face extra costs associated with fertility preservation. The intended outcome of the program is to reduce eligible patient’s costs for preserving eggs, sperm, or embryos through cryostorage (freezing). Under the program, patients will be eligible for up to ten years of cryostorage funding per eligible material stored. To view the grant opportunity documents, please select the red Grant Opportunity Documents button on the left hand side.",,,"Department of Health, Disability and Ageing",P4562,"To apply you must: read all available documentation about the grant opportunity provided on GrantConnect provide all information requested include all necessary attachments, and register your ART Organisation and your clinics with the Services Australia Organisation Register. Once you have submitted your application by registering with the Services Australia Organisation Register the Department will assess your application against eligibility criteria. The Department will advise you of the outcome of your grant assessment in writing. If you are successful we will advise you of any specific conditions attached to the grant.","$11,600,000.00"
GO7854,,351002 - Regional Development,,,Ongoing,Demand Driven,18-Aug-25,N/A,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS, Administered Territories",Only RDAs are eligible for funding under the program.,"The RDA program is a national network of 50 Committees, including the Indian Ocean Territories Regional Development Organisation (collectively referred to in this document as RDAs). RDAs are made up of volunteer local leaders who work with all levels of government, business and community groups to support economic development in their regions.",,,"Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",79,"The program is demand-driven to fund the operational requirements of the RDAs and therefore, unless there is a specific need, there are no application processes.","$117,700,000.00"
GO4192,,151004 - Legal Services,,View Addenda,Ongoing,Open Non-competitive,23-Jul-20,NIL,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","Who is eligible to apply for a grant? Any liquidator appointed as a liquidator to a company in liquidation in: - a court-ordered winding up; - a creditors’ voluntary winding up; or - an ASIC-ordered winding up under section 489EA of the Corporations Act 2001, excluding a liquidator of a solvent company voluntarily wound up by its members or a special purpose liquidator, may apply for funding under the Director Banning grant opportunity to investigate and prepare a supplementary Report. Additional eligibility criteria: An application for funding under the Director Banning grant opportunity must meet four eligibility criteria: a. the company in liquidation must be an 'assetless' administration; b. a report under section 533(1) of the Corporations Act 2001 must have been lodged with ASIC; c. elements of sections 206F or 206GAA of the Corporations Act 2001 are met; and d. sufficient evidence is or is likely to become available. Please read the Director Banning Grant Guidelines for further details regarding eligibility.","The Director Banning Grant Guidelines is one of three revised Guidelines developed by ASIC to replace ASIC Regulatory Guide 109*. The Director Banning grant opportunity provides funding to a liquidator of an assetless company to investigate and prepare a report under section 533(2) of the Corporations Act 2001 , primarily to assist ASIC to determine whether to disqualify a person from managing corporations under section 206F or 206GAA of the Corporations Act 2001 . The Commonwealth Grant Rules and Principles 2024 ( CGRPs ) requires grant opportunity guidelines to be developed for all new grant opportunities, and revised guidelines to be developed where significant changes have been made to a grant opportunity. The Guidelines are developed in accordance with the CGRPs within the Commonwealth Grants Policy Framework. Please read the Guidelines carefully, as it contains numerous changes including: - Sections and headings in accordance with the Whole-of-Government template - Simplified definition for ""assetless"" administration for determining a liquidator's eligility to apply for grant in section 4.5 *The other two Guidelines are: Asset Recovery Grant Guidelines; and Matters Other Than Director Banning Grant Guidelines.",Please read the Director Banning Grant Guidelines for further details,,Australian Securities and Investments Commission,AAF - BAN,Application for funding must be submitted via ASIC Regulatory Portal: https://regulatoryportal.asic.gov.au/,
GO4193,,151004 - Legal Services,,View Addenda,Ongoing,Open Non-competitive,23-Jul-20,NIL,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","Who is eligible to apply for a grant? Any liquidator appointed as a liquidator to a company in liquidation in: - a court-ordered winding up; - a creditors' voluntary winding up; or - an ASIC-ordered winding up under section 489EA of the Corporations Act 2001, excluding a liquidator of a solvent company wound up by its members or a special purpose liquidator, may apply for funding under the Matters Other than Director Banning grant opportunity to investigate and prepare a supplementary report. Additional eligibility criteria: An application for funding under the Matter Other than Director Banning grant opportunity must meet four eligibility criteria: a. the company in liquidation must be an 'assetless' administration; b. a report under section 533(1) of the Corporations Act 2001 must have been lodged with ASIC; c. the liquidator must have formed a reasonable belief that: (i) there has been misconduct in relation to the company; (ii) there is, or will be on completion of the investigation, sufficient admissable evidence to prove allegation of misconduct, and (iii) the concerns raised may warrant ASIC taking legal proceedings taking into account the age and history of the relevant conduct; and d. sufficient evidence is or is likely to become available. Please read the Matters Other than Director Banning Grant Guidelines for further details regarding eligibility.","The Matters other than Director Banning Grant Guidelines is one of three revised Guidelines developed by ASIC to replace ASIC Regulatory Guide 109*. The Other Matters grant opportunity provides funding to a liquidator of an assetless company to investigate and prepare a report under section 533(2) of the Corporations Act 2001 , where possible offences or misconduct had occurred that may warrant ASIC commencing its own investigation or taking enforcement action. The Commonwealth Grant Rules and Principles 2024 ( CGRPs ) requires grant opportunity guidelines to be developed for all new grant opportunities, and revised guidelines to be developed where significant changes have been made to a grant opportunity. The Guidelines are developed in accordance with the CGRPs within the Commonwealth Grants Policy Framework. Please read the Guidelines carefully, as it contains numerous changes including - Sections and headings in accordance with the Whole-of-Government template - Simplified definition for ""assetless"" administration for determining a liquidator's eligibility to apply for grant in section 4.5 *The other two Guidelines are: Director Banning Grant Guidelines; and Asset Recovery Grant Guidelines.",Please read the Matters Other than Director Banning Grant Guidelines for further details,,Australian Securities and Investments Commission,AAF - OTHER,Application for funding must be submitted via ASIC Regulatory Portal: https://regulatoryportal.asic.gov.au/,
GO4195,,151004 - Legal Services,,View Addenda,Ongoing,Open Non-competitive,23-Jul-20,NIL,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS","Who is eligible to apply for a grant? Any liquidator appointed as a liquidator to a company in liquidation in: - a court-ordered winding up; - a creditors' voluntary winding up; or - an ASIC-ordered winding up under section 489EA of the Corporation Act 2001 , excluding a liquidator of a solvent company voluntarily wound up by its member or a special purpose liquidator, may apply for funding under the Asset Recovery grant opportunity to undertake Preliminary Action and/or Legal Action. Additional eligibility criteria: An application for funding under the Asset Recovery grant opportunity must meet four criteria: a. the company in liquidation must be an 'assetless' administration b. a report under section 533(1) of the Corporation Act 2001 must have been lodged with ASIC; c. the liquidator must have formed a reasonable belief that misconduct has occurred which casued the disspation of assets; and d. sufficient evidence is available or is likely to become available. Please read the Asset Recovery Grant Guidelines for further details regarding eligibility.","The Asset Recovery Grant Guideline is one of three revised guidelines developed by ASIC to replace ASIC Regulatory Guide 109*. The Asset Recovery grant opportunity provides funding to a liquidator of an assetless company to take action to recover certain assets, or for compensation for loss, where misconduct in relation to the company has occurred which caused assets of the company to dissipate. The Commonwealth Grant Rules and Principles 2024 ( CGRPs ) requires grant opportunity guidelines to be developed for all new grant opportunities, and revised guidelines to be developed where significant changes have been made to a grant opportunity. The Guidelines are developed in accordance with the CGRPs within the Commonwealth Grants Policy Framework. Please read the Guidelines carefully, as it contains numerous changes including: - Sections and headings in accordancewith the Whole-of-Government template - Simplified definition for 'assetless' administration for determining a liquidator's eligibility to apply for grant in section 4.5 - Clearer assessment criteria in section 6 - Explicit guidance regarding funding for security for costs orders to support asset recovery. * The other two Guidelines are: Director Banning Grant Guidelines; and Matter Other Than Director Banning Grant Guidelines.",Please read the Asset Recovery Grant Guidelines for further details,,Australian Securities and Investments Commission,AAF - LRA,Application for funding must be submitted via ASIC Regulatory Portal: https://regulatoryportal.asic.gov.au/,
GO6964,,151004 - Legal Services,,,Ongoing,Open Non-competitive,29-May-24,,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",You may be eligible for ICARS if you are: defending or proposing to defend an application filed in an Australian court under the Regulations seeking a return order for a child (or children) appealing or proposing to appeal a return order made by an Australian court under the Regulations responding to or proposing to respond to an appeal against a non-return decision made by an Australian court under the Regulations. ICARS applications can be made for proceedings filed under the Regulations on or after 1 January 2024. You will also have to demonstrate you satisfy certain assessment critera. The application form will ask you to provide information about: whether funding the legal action would cause you financial hardship your criminal history the nature of the legal action and its potential impact.,The International Child Abduction Respondents Scheme (ICARS) may provide funding to an individual who is responding to a 1980 Hague Convention on the Civil Aspects of International Child Abduction application seeking the return of a child under the Family Law (Child Abduction Convention) Regulations 1986 (the Regulations) in an Australian court.,,,Attorney-General's Department,,Download an application form and a Nationally Coordinated Criminal History Check Form and email completed copies to finass@ag.gov.au with the required attachments.,"$4,865,000.00"
